First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
301,112,3,35,35,146,0,0,112
302,77,1,62,147,223,85,85,162
303,67,9,101,224,290,123,123,190
304,71,8,163,291,361,128,128,199
305,82,6,227,362,443,135,135,217
306,69,8,272,444,512,172,172,241
307,81,8,332,513,593,181,181,262
308,66,5,336,594,659,258,258,324
309,84,4,398,660,743,262,262,346
310,98,7,398,744,841,346,346,444
311,105,1,446,842,946,396,396,501
312,71,2,471,947,1017,476,476,547
313,90,6,488,1018,1107,530,530,620
314,94,2,524,1108,1201,584,584,678
315,88,5,588,1202,1289,614,614,702
316,77,6,617,1290,1366,673,673,750
317,102,9,618,1367,1468,749,749,851
318,92,4,626,1469,1560,843,843,935
319,62,4,684,1561,1622,877,877,939
320,96,2,715,1623,1718,908,908,1004
321,92,8,747,1719,1810,972,972,1064
322,95,5,815,1811,1905,996,996,1091
323,58,8,872,1906,1963,1034,1034,1092
324,90,8,907,1964,2053,1057,1057,1147
325,88,1,963,2054,2141,1091,1091,1179
326,92,3,1022,2142,2233,1120,1120,1212
327,63,9,1082,2234,2296,1152,1152,1215
328,96,7,1105,2297,2392,1192,1192,1288
329,75,4,1132,2393,2467,1261,1261,1336
330,69,3,1201,2468,2536,1267,1267,1336
331,96,4,1233,2537,2632,1304,1304,1400
332,83,0,1248,2633,2715,1385,1385,1468
333,62,2,1275,2716,2777,1441,1441,1503
334,66,9,1314,2778,2843,1464,1464,1530
335,59,2,1357,2844,2902,1487,1487,1546
336,77,2,1408,2903,2979,1495,1495,1572
337,85,8,1445,2980,3064,1535,1535,1620
338,71,2,1502,3065,3135,1563,1563,1634
339,66,9,1534,3136,3201,1602,1602,1668
340,70,5,1580,3202,3271,1622,1622,1692
341,75,4,1596,3272,3346,1676,1676,1751
342,66,9,1618,3347,3412,1729,1729,1795
343,87,8,1671,3413,3499,1742,1742,1829
344,73,6,1726,3500,3572,1774,1774,1847
345,84,6,1749,3573,3656,1824,1824,1908
346,110,9,1810,3657,3766,1847,1847,1957
347,59,2,1851,3767,3825,1916,1916,1975
348,87,6,1858,3826,3912,1968,1968,2055
349,69,6,1872,3913,3981,2041,2041,2110
350,84,3,1887,3982,4065,2095,2095,2179
351,68,8,1888,4066,4133,2178,2178,2246
352,98,7,1947,4134,4231,2187,2187,2285
353,64,2,1967,4232,4295,2265,2265,2329
354,77,3,1975,4296,4372,2321,2321,2398
355,75,7,1989,4373,4447,2384,2384,2459
356,77,2,2017,4448,4524,2431,2431,2508
357,84,0,2044,4525,4608,2481,2481,2565
358,85,7,2100,4609,4693,2509,2509,2594
359,80,8,2112,4694,4773,2582,2582,2662
360,114,8,2112,4774,4887,2662,2662,2776
361,113,5,2142,4888,5000,2746,2746,2859
362,86,2,2209,5001,5086,2792,2792,2878
363,74,2,2270,5087,5160,2817,2817,2891
364,66,6,2302,5161,5226,2859,2859,2925
365,86,0,2316,5227,5312,2911,2911,2997
366,91,7,2334,5313,5403,2979,2979,3070
367,88,1,2382,5404,5491,3022,3022,3110
368,81,3,2392,5492,5572,3100,3100,3181
369,78,2,2419,5573,5650,3154,3154,3232
370,82,4,2452,5651,5732,3199,3199,3281
371,88,3,2515,5733,5820,3218,3218,3306
372,79,4,2534,5821,5899,3287,3287,3366
373,81,2,2550,5900,5980,3350,3350,3431
374,65,6,2564,5981,6045,3417,3417,3482
375,90,8,2578,6046,6135,3468,3468,3558
376,81,2,2611,6136,6216,3525,3525,3606
377,85,0,2653,6217,6301,3564,3564,3649
378,88,8,2686,6302,6389,3616,3616,3704
379,78,3,2694,6390,6467,3696,3696,3774
380,90,1,2756,6468,6557,3712,3712,3802
381,105,8,2792,6558,6662,3766,3766,3871
382,69,9,2847,6663,6731,3816,3816,3885
383,79,4,2900,6732,6810,3832,3832,3911
384,101,5,2936,6811,6911,3875,3875,3976
385,69,4,2969,6912,6980,3943,3943,4012
386,78,5,2986,6981,7058,3995,3995,4073
387,74,5,2998,7059,7132,4061,4061,4135
388,75,5,3010,7133,7207,4123,4123,4198
389,74,4,3060,7208,7281,4148,4148,4222
390,64,8,3070,7282,7345,4212,4212,4276
391,78,5,3113,7346,7423,4233,4233,4311
392,83,4,3138,7424,7506,4286,4286,4369
393,70,0,3153,7507,7576,4354,4354,4424
394,80,3,3189,7577,7656,4388,4388,4468
395,67,9,3227,7657,7723,4430,4430,4497
396,74,6,3264,7724,7797,4460,4460,4534
397,68,6,3274,7798,7865,4524,4524,4592
398,77,8,3331,7866,7942,4535,4535,4612
399,86,6,3370,7943,8028,4573,4573,4659
400,60,3,3432,8029,8088,4597,4597,4657
,,,,,,,,
,,,,,Min,0,0,112
,,,,,Mean,2255.75,2255.75,2336.29
,,,,,Max,4597,4597,4659
,,,,,StdDev,2666.68,2666.68,2746.09
