First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,10,10,41,0,0,32
102,39,1,50,50,88,0,0,39
103,43,9,117,117,159,0,0,43
104,36,8,162,162,197,0,0,36
105,26,2,189,198,223,9,9,35
106,46,1,226,226,271,0,0,46
107,30,6,274,274,303,0,0,30
108,34,4,295,304,337,9,9,43
109,42,7,364,364,405,0,0,42
110,32,7,391,406,437,15,15,47
111,43,5,400,438,480,38,38,81
112,38,0,434,481,518,47,47,85
113,45,0,463,519,563,56,56,101
114,33,8,526,564,596,38,38,71
115,33,7,532,597,629,65,65,98
116,46,8,581,630,675,49,49,95
117,41,5,586,676,716,90,90,131
118,33,9,629,717,749,88,88,121
119,28,3,638,750,777,112,112,140
120,39,7,647,778,816,131,131,170
121,49,8,710,817,865,107,107,156
122,42,5,719,866,907,147,147,189
123,44,3,758,908,951,150,150,194
124,37,0,781,952,988,171,171,208
125,34,8,824,989,1022,165,165,199
126,43,5,845,1023,1065,178,178,221
127,34,3,873,1066,1099,193,193,227
128,31,0,904,1100,1130,196,196,227
129,35,0,958,1131,1165,173,173,208
130,39,9,1007,1166,1204,159,159,198
131,35,0,1008,1205,1239,197,197,232
132,45,9,1014,1240,1284,226,226,271
133,35,0,1022,1285,1319,263,263,298
134,49,2,1085,1320,1368,235,235,284
135,43,2,1140,1369,1411,229,229,272
136,48,4,1146,1412,1459,266,266,314
137,30,5,1183,1460,1489,277,277,307
138,35,9,1248,1490,1524,242,242,277
139,45,5,1279,1525,1569,246,246,291
140,37,7,1326,1570,1606,244,244,281
141,43,0,1338,1607,1649,269,269,312
142,43,9,1381,1650,1692,269,269,312
143,38,1,1416,1693,1730,277,277,315
144,36,0,1460,1731,1766,271,271,307
145,32,6,1492,1767,1798,275,275,307
146,40,3,1544,1799,1838,255,255,295
147,45,5,1573,1839,1883,266,266,311
148,44,4,1580,1884,1927,304,304,348
149,39,2,1615,1928,1966,313,313,352
150,35,5,1651,1967,2001,316,316,351
151,42,3,1714,2002,2043,288,288,330
152,27,0,1780,2044,2070,264,264,291
153,35,3,1800,2071,2105,271,271,306
154,44,2,1823,2106,2149,283,283,327
155,39,3,1861,2150,2188,289,289,328
156,41,7,1873,2189,2229,316,316,357
157,57,8,1877,2230,2286,353,353,410
158,36,5,1927,2287,2322,360,360,396
159,28,6,1961,2323,2350,362,362,390
160,32,6,1978,2351,2382,373,373,405
161,34,4,2008,2383,2416,375,375,409
162,41,2,2012,2417,2457,405,405,446
163,33,0,2066,2458,2490,392,392,425
164,48,1,2092,2491,2538,399,399,447
165,36,0,2097,2539,2574,442,442,478
166,41,2,2154,2575,2615,421,421,462
167,36,8,2196,2616,2651,420,420,456
168,34,8,2206,2652,2685,446,446,480
169,48,4,2247,2686,2733,439,439,487
170,39,1,2279,2734,2772,455,455,494
171,53,8,2293,2773,2825,480,480,533
172,38,3,2302,2826,2863,524,524,562
173,35,3,2321,2864,2898,543,543,578
174,36,2,2373,2899,2934,526,526,562
175,36,0,2427,2935,2970,508,508,544
176,50,3,2480,2971,3020,491,491,541
177,32,5,2494,3021,3052,527,527,559
178,39,4,2546,3053,3091,507,507,546
179,25,7,2595,3092,3116,497,497,522
180,41,8,2645,3117,3157,472,472,513
181,26,8,2684,3158,3183,474,474,500
182,39,6,2694,3184,3222,490,490,529
183,38,7,2756,3223,3260,467,467,505
184,52,0,2808,3261,3312,453,453,505
185,46,5,2841,3313,3358,472,472,518
186,29,1,2899,3359,3387,460,460,489
187,36,8,2955,3388,3423,433,433,469
188,31,2,3016,3424,3454,408,408,439
189,36,9,3071,3455,3490,384,384,420
190,48,7,3093,3491,3538,398,398,446
191,40,8,3133,3539,3578,406,406,446
192,40,6,3151,3579,3618,428,428,468
193,37,3,3206,3619,3655,413,413,450
194,40,9,3238,3656,3695,418,418,458
195,39,6,3301,3696,3734,395,395,434
196,30,4,3331,3735,3764,404,404,434
197,32,9,3354,3765,3796,411,411,443
198,47,0,3370,3797,3843,427,427,474
199,37,0,3405,3844,3880,439,439,476
200,46,7,3439,3881,3926,442,442,488
,,,,,,,,
,,,,,Min,0,0,30
,,,,,Mean,286.76,286.76,325.25
,,,,,Max,543,543,578
,,,,,StdDev,161.90,161.90,162.34
