First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,20,6,54,54,73,0,0,20
102,17,9,85,85,101,0,0,17
103,16,9,111,111,126,0,0,16
104,19,7,140,140,158,0,0,19
105,22,0,197,197,218,0,0,22
106,13,5,229,229,241,0,0,13
107,21,8,267,267,287,0,0,21
108,24,5,310,310,333,0,0,24
109,20,1,346,346,365,0,0,20
110,14,1,392,392,405,0,0,14
111,14,0,444,444,457,0,0,14
112,15,5,448,458,472,10,10,25
113,26,8,471,473,498,2,2,28
114,22,7,497,499,520,2,2,24
115,20,7,566,566,585,0,0,20
116,21,0,576,586,606,10,10,31
117,17,7,637,637,653,0,0,17
118,22,4,686,686,707,0,0,22
119,21,7,738,738,758,0,0,21
120,18,0,738,759,776,21,21,39
121,19,0,779,779,797,0,0,19
122,25,7,805,805,829,0,0,25
123,16,1,848,848,863,0,0,16
124,21,3,914,914,934,0,0,21
125,21,4,971,971,991,0,0,21
126,20,6,1006,1006,1025,0,0,20
127,21,1,1022,1026,1046,4,4,25
128,16,1,1067,1067,1082,0,0,16
129,23,8,1093,1093,1115,0,0,23
130,20,1,1101,1116,1135,15,15,35
131,17,4,1117,1136,1152,19,19,36
132,17,6,1149,1153,1169,4,4,21
133,20,5,1198,1198,1217,0,0,20
134,21,4,1204,1218,1238,14,14,35
135,19,0,1230,1239,1257,9,9,28
136,19,1,1249,1258,1276,9,9,28
137,25,9,1300,1300,1324,0,0,25
138,21,9,1343,1343,1363,0,0,21
139,15,5,1398,1398,1412,0,0,15
140,21,8,1455,1455,1475,0,0,21
141,17,4,1516,1516,1532,0,0,17
142,20,9,1560,1560,1579,0,0,20
143,18,9,1629,1629,1646,0,0,18
144,20,2,1682,1682,1701,0,0,20
145,16,1,1715,1715,1730,0,0,16
146,20,9,1770,1770,1789,0,0,20
147,18,1,1836,1836,1853,0,0,18
148,15,9,1853,1854,1868,1,1,16
149,20,2,1883,1883,1902,0,0,20
150,23,2,1921,1921,1943,0,0,23
151,20,9,1974,1974,1993,0,0,20
152,22,8,2003,2003,2024,0,0,22
153,25,6,2025,2025,2049,0,0,25
154,23,0,2094,2094,2116,0,0,23
155,21,7,2139,2139,2159,0,0,21
156,25,1,2182,2182,2206,0,0,25
157,15,4,2244,2244,2258,0,0,15
158,23,8,2257,2259,2281,2,2,25
159,26,1,2281,2282,2307,1,1,27
160,21,0,2348,2348,2368,0,0,21
161,23,6,2370,2370,2392,0,0,23
162,19,5,2378,2393,2411,15,15,34
163,13,0,2427,2427,2439,0,0,13
164,19,3,2491,2491,2509,0,0,19
165,22,2,2491,2510,2531,19,19,41
166,19,2,2514,2532,2550,18,18,37
167,17,2,2579,2579,2595,0,0,17
168,22,3,2599,2599,2620,0,0,22
169,17,3,2634,2634,2650,0,0,17
170,16,0,2666,2666,2681,0,0,16
171,21,1,2679,2682,2702,3,3,24
172,17,0,2693,2703,2719,10,10,27
173,18,7,2741,2741,2758,0,0,18
174,16,7,2776,2776,2791,0,0,16
175,16,3,2800,2800,2815,0,0,16
176,19,1,2858,2858,2876,0,0,19
177,22,8,2884,2884,2905,0,0,22
178,25,6,2949,2949,2973,0,0,25
179,16,0,3008,3008,3023,0,0,16
180,19,6,3051,3051,3069,0,0,19
181,16,2,3110,3110,3125,0,0,16
182,18,9,3124,3126,3143,2,2,20
183,23,0,3133,3144,3166,11,11,34
184,22,3,3190,3190,3211,0,0,22
185,26,9,3220,3220,3245,0,0,26
186,16,3,3248,3248,3263,0,0,16
187,20,7,3271,3271,3290,0,0,20
188,15,5,3294,3294,3308,0,0,15
189,21,4,3327,3327,3347,0,0,21
190,19,0,3355,3355,3373,0,0,19
191,17,8,3390,3390,3406,0,0,17
192,20,8,3407,3407,3426,0,0,20
193,17,4,3465,3465,3481,0,0,17
194,21,3,3534,3534,3554,0,0,21
195,11,8,3580,3580,3590,0,0,11
196,21,5,3625,3625,3645,0,0,21
197,25,9,3644,3646,3670,2,2,27
198,20,8,3662,3671,3690,9,9,29
199,19,4,3694,3694,3712,0,0,19
200,25,0,3760,3760,3784,0,0,25
,,,,,,,,
,,,,,Min,0,0,11
,,,,,Mean,2.12,2.12,21.67
,,,,,Max,21,21,41
,,,,,StdDev,4.93,4.93,5.87
