Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
301,102,1,6,6,227,120,0,222
302,58,9,73,86,245,115,13,173
303,87,3,82,106,792,624,24,711
304,86,0,138,186,1833,1610,48,1696
305,75,4,199,206,827,554,7,629
306,75,2,263,306,1848,1511,43,1586
307,87,5,295,326,3734,3353,31,3440
308,90,6,325,346,3744,3330,21,3420
309,100,7,337,366,3764,3328,29,3428
310,79,2,355,386,1927,1494,31,1573
311,78,3,416,566,3782,3289,150,3367
312,85,4,464,586,5502,4954,122,5039
313,101,2,530,606,6978,6348,76,6449
314,74,5,568,626,3836,3195,58,3269
315,64,3,620,646,3840,3157,26,3221
316,70,1,624,666,3850,3157,42,3227
317,60,0,628,686,2067,1380,58,1440
318,79,8,666,706,3869,3125,40,3204
319,70,0,701,726,3879,3109,25,3179
320,85,9,729,746,5527,4714,17,4799
321,111,1,758,766,6989,6121,8,6232
322,93,7,806,1148,7002,6104,342,6197
323,83,1,824,1168,7005,6099,344,6182
324,83,0,824,1188,7008,6102,364,6185
325,74,1,833,1208,5621,4715,375,4789
326,78,1,859,1228,5639,4703,369,4781
327,66,8,888,1248,5645,4692,360,4758
328,66,4,888,1268,5651,4698,380,4764
329,60,0,920,1288,4079,3100,368,3160
330,96,6,982,1308,7024,5947,326,6043
331,69,2,984,1328,5680,4628,344,4697
332,93,8,1013,1348,7037,5932,335,6025
333,90,4,1041,1368,7047,5917,327,6007
334,84,4,1104,1388,7051,5864,284,5948
335,89,1,1173,1408,7060,5799,235,5888
336,97,5,1219,1428,7077,5762,209,5859
337,85,2,1270,1448,7082,5728,178,5813
338,67,5,1274,1468,5807,4467,194,4534
339,69,2,1276,1488,5816,4472,212,4541
340,99,7,1321,1508,7101,5682,187,5781
341,58,0,1334,1528,4317,2926,194,2984
342,88,5,1347,1548,7109,5675,201,5763
343,79,3,1411,1568,5875,4386,157,4465
344,70,7,1423,1588,5885,4393,165,4463
345,94,8,1457,1608,7123,5573,151,5667
346,78,0,1484,1628,5923,4362,144,4440
347,89,6,1552,1648,7132,5492,96,5581
348,83,9,1578,1668,7135,5475,90,5558
349,73,3,1630,1688,5976,4274,58,4347
350,80,8,1669,1708,5996,4248,39,4328
351,97,6,1695,1728,7152,5361,33,5458
352,74,7,1737,1748,6030,4220,11,4294
353,77,5,1738,1768,6047,4233,30,4310
354,92,7,1746,1788,7164,5327,42,5419
355,91,7,1774,1808,7175,5311,34,5402
356,69,6,1841,2828,7184,5275,987,5344
357,76,8,1849,2848,7200,5276,999,5352
358,88,1,1854,2868,7895,5954,1014,6042
359,71,9,1900,2888,7231,5261,988,5332
360,75,5,1928,2908,7246,5244,980,5319
361,72,1,1937,2928,7258,5250,991,5322
362,80,5,1958,2948,7278,5241,990,5321
363,75,2,1974,2968,7293,5245,994,5320
364,86,8,2035,2988,7901,5781,953,5867
365,100,4,2045,3008,7921,5777,963,5877
366,77,5,2095,3028,7350,5179,933,5256
367,71,0,2158,3048,7361,5133,890,5204
368,88,0,2206,3068,7929,5636,862,5724
369,81,7,2209,3088,7930,5641,879,5722
370,71,8,2267,3108,7412,5075,841,5146
371,94,3,2271,3128,7944,5580,857,5674
372,90,5,2308,3148,7954,5557,840,5647
373,66,9,2353,3168,7458,5040,815,5106
374,94,5,2392,3188,7968,5483,796,5577
375,109,4,2400,3208,8127,5619,808,5728
376,96,1,2450,3228,8004,5459,778,5555
377,72,4,2454,3248,7530,5005,794,5077
378,77,4,2482,3268,7547,4989,786,5066
379,61,6,2536,3288,7548,4952,752,5013
380,62,4,2542,3308,7550,4947,766,5009
381,71,1,2609,3328,7561,4882,719,4953
382,76,2,2650,3348,7577,4852,698,4928
383,77,3,2673,3368,7594,4845,695,4922
384,95,8,2727,3388,8019,5198,661,5293
385,88,1,2738,3408,8027,5202,670,5290
386,87,2,2758,3428,8034,5190,670,5277
387,75,3,2771,3448,7669,4824,677,4899
388,89,0,2805,3468,8043,5150,663,5239
389,92,5,2847,3488,8055,5117,641,5209
390,81,4,2893,3508,8056,5083,615,5164
391,78,7,2911,3528,7747,4759,617,4837
392,87,5,2952,3548,8063,5025,596,5112
393,83,4,3014,3568,8066,4970,554,5053
394,95,3,3056,3588,8081,4931,532,5026
395,95,7,3097,3608,8096,4905,511,5000
396,96,0,3107,3628,8112,4910,521,5006
397,50,2,3148,3648,6917,3720,500,3770
398,71,9,3182,3668,7858,4606,486,4677
399,86,2,3186,3688,8118,4847,502,4933
400,69,7,3250,3708,7887,4569,458,4638
,,,,,,,,
,,,,,Min,115,0,173
,,,,,Mean,4614.39,422.89,4695.61
,,,,,Max,6348,1014,6449
,,,,,StdDev,?,341.22,?
