Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,36,1,6,6,81,40,0,76
102,72,0,22,26,328,235,4,307
103,55,7,40,46,196,102,6,157
104,46,8,84,122,334,205,38,251
105,54,8,135,142,348,160,7,214
106,53,3,174,237,521,295,63,348
107,50,9,205,257,531,277,52,327
108,59,1,271,277,550,221,6,280
109,46,9,296,297,556,215,1,261
110,51,0,356,429,745,339,73,390
111,45,7,378,449,750,328,71,373
112,46,1,442,469,756,269,27,315
113,60,2,474,489,776,243,15,303
114,54,1,510,637,970,407,127,461
115,57,8,555,657,987,376,102,433
116,52,1,624,677,999,324,53,376
117,68,2,653,697,1257,537,44,605
118,18,2,687,717,734,30,30,48
119,38,6,753,857,1037,247,104,285
120,45,0,786,877,1262,432,91,477
121,44,0,818,897,1266,405,79,449
122,50,8,858,917,1276,369,59,419
123,32,0,920,937,1109,158,17,190
124,50,1,958,1110,1701,694,152,744
125,52,7,1020,1130,1713,642,110,694
126,41,6,1068,1150,1714,606,82,647
127,35,3,1126,1170,1351,191,44,226
128,55,8,1138,1190,1729,537,52,592
129,61,8,1168,1210,2315,1087,42,1148
130,56,5,1209,1230,1765,501,21,557
131,51,0,1272,1412,2326,1004,140,1055
132,47,7,1327,1432,2333,960,105,1007
133,61,5,1361,1452,3335,1914,91,1975
134,60,7,1367,1472,2373,947,105,1007
135,29,3,1403,1492,1854,423,89,452
136,43,1,1444,1512,2376,890,68,933
137,53,3,1475,1532,2389,862,57,915
138,44,5,1533,1552,2393,817,19,861
139,40,1,1562,1572,1934,333,10,373
140,58,7,1571,1592,2411,783,21,841
141,68,9,1576,1612,3343,1700,36,1768
142,49,6,1599,1632,2440,793,33,842
143,46,1,1600,1652,2446,801,52,847
144,60,8,1638,1672,2466,769,34,829
145,55,0,1701,2035,3358,1603,334,1658
146,46,8,1753,2055,3364,1566,302,1612
147,54,5,1810,2075,3378,1515,265,1569
148,52,7,1873,2095,3390,1466,222,1518
149,68,6,1935,2115,4279,2277,180,2345
150,41,3,1952,2135,3411,1419,183,1460
151,36,8,2011,2155,2602,556,144,592
152,50,2,2062,2175,3421,1310,113,1360
153,39,6,2085,2195,2641,518,110,557
154,48,0,2131,2215,3429,1251,84,1299
155,33,4,2133,2235,2674,509,102,542
156,49,5,2199,2255,3438,1191,56,1240
157,46,8,2259,2275,3444,1140,16,1186
158,43,4,2279,2295,3447,1126,16,1169
159,44,8,2341,2735,4283,1899,394,1943
160,58,6,2399,2755,4301,1845,356,1903
161,37,7,2414,2775,3504,1054,361,1091
162,57,6,2417,2795,4318,1845,378,1902
163,40,1,2485,2815,3544,1020,330,1060
164,51,6,2537,2835,4329,1742,298,1793
165,62,2,2575,2855,4808,2172,280,2234
166,56,0,2593,2875,4365,1717,282,1773
167,36,1,2654,2895,3620,931,241,967
168,51,4,2660,2915,4376,1666,255,1717
169,41,0,2666,2935,4377,1671,269,1712
170,45,8,2671,2955,4382,1667,284,1712
171,55,5,2732,2975,4397,1611,243,1666
172,36,5,2745,2995,3716,936,250,972
173,52,9,2802,3015,4409,1556,213,1608
174,37,8,2819,3035,3753,898,216,935
175,67,5,2833,3055,4815,1916,222,1983
176,40,9,2882,3075,3793,872,193,912
177,47,1,2911,3095,4436,1479,184,1526
178,56,2,2941,3115,4452,1456,174,1512
179,38,6,2988,3135,3851,826,147,864
180,50,4,2997,3155,4462,1416,158,1466
181,54,0,3024,3175,4476,1399,151,1453
182,60,9,3062,3195,4496,1375,133,1435
183,54,4,3125,3215,4510,1332,90,1386
184,49,9,3176,3235,4519,1295,59,1344
185,54,6,3212,3255,4533,1268,43,1322
186,61,2,3256,3275,4816,1500,19,1561
187,45,5,3280,3295,4558,1234,15,1279
188,58,3,3287,3315,4576,1232,28,1290
189,45,0,3341,4032,4821,1436,691,1481
190,37,6,3369,4052,4613,1208,683,1245
191,41,5,3410,4072,4822,1372,662,1413
192,53,0,3456,4092,4835,1327,636,1380
193,42,5,3495,4112,4837,1301,617,1343
194,33,3,3505,4132,4686,1149,627,1182
195,53,0,3527,4152,4850,1271,625,1324
196,52,3,3545,4172,4862,1266,627,1318
197,53,8,3605,4192,4875,1218,587,1271
198,61,0,3645,4212,4917,1212,567,1273
199,41,0,3645,4232,4896,1211,587,1252
200,66,7,3689,4252,4923,1169,563,1235
,,,,,,,,
,,,,,Min,30,0,48
,,,,,Mean,988.85,182.97,1038.03
,,,,,Max,2277,691,2345
,,,,,StdDev,1083.65,191.60,1269.51
