Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,94,6,68,68,161,0,0,94
202,85,1,128,162,246,34,34,119
203,80,6,184,563,642,379,379,459
204,62,9,223,247,308,24,24,86
205,64,9,272,309,372,37,37,101
206,78,3,315,373,450,58,58,136
207,81,0,377,4760,4840,4383,4383,4464
208,55,3,408,451,505,43,43,98
209,81,7,466,4841,4921,4375,4375,4456
210,57,5,500,506,562,6,6,63
211,82,6,541,5084,5165,4543,4543,4625
212,80,7,585,4360,4439,3775,3775,3855
213,107,9,594,7717,7823,7123,7123,7230
214,69,0,622,643,711,21,21,90
215,96,1,634,6824,6919,6190,6190,6286
216,91,1,660,6275,6365,5615,5615,5706
217,68,6,670,712,779,42,42,110
218,80,8,678,4440,4519,3762,3762,3842
219,67,8,735,780,846,45,45,112
220,87,2,780,5836,5922,5056,5056,5143
221,55,4,791,847,901,56,56,111
222,75,2,828,1103,1177,275,275,350
223,80,9,852,4520,4599,3668,3668,3748
224,66,1,881,965,1030,84,84,150
225,63,8,892,902,964,10,10,73
226,75,2,895,1178,1252,283,283,358
227,83,4,938,5248,5330,4310,4310,4393
228,75,2,958,1253,1327,295,295,370
229,77,2,980,3423,3499,2443,2443,2520
230,72,9,982,1031,1102,49,49,121
231,81,3,1012,4922,5002,3910,3910,3991
232,89,0,1028,6097,6185,5069,5069,5158
233,96,9,1058,6920,7015,5862,5862,5958
234,97,8,1066,7112,7208,6046,6046,6143
235,75,8,1069,1737,1811,668,668,743
236,85,6,1104,5581,5665,4477,4477,4562
237,82,4,1153,5166,5247,4013,4013,4095
238,77,8,1209,3500,3576,2291,2291,2368
239,87,5,1252,5923,6009,4671,4671,4758
240,62,2,1285,1328,1389,43,43,105
241,79,8,1338,3965,4043,2627,2627,2706
242,69,7,1380,1390,1458,10,10,79
243,83,2,1414,5331,5413,3917,3917,4000
244,76,9,1448,1882,1957,434,434,510
245,67,0,1454,1459,1525,5,5,72
246,72,3,1475,1596,1667,121,121,193
247,70,2,1489,1526,1595,37,37,107
248,89,2,1555,6186,6274,4631,4631,4720
249,76,0,1575,2290,2365,715,715,791
250,69,8,1631,1668,1736,37,37,106
251,79,8,1680,4044,4122,2364,2364,2443
252,97,6,1724,7209,7305,5485,5485,5582
253,70,5,1749,1812,1881,63,63,133
254,91,1,1801,6366,6456,4565,4565,4656
255,80,9,1854,4600,4679,2746,2746,2826
256,76,9,1890,2640,2715,750,750,826
257,103,7,1904,7406,7508,5502,5502,5605
258,48,9,1927,1958,2005,31,31,79
259,80,1,1930,4680,4759,2750,2750,2830
260,76,5,1951,3347,3422,1396,1396,1472
261,81,2,1953,5003,5083,3050,3050,3131
262,72,4,1959,2006,2077,47,47,119
263,104,6,1985,7509,7612,5524,5524,5628
264,74,3,1998,2078,2151,80,80,154
265,91,4,2051,6457,6547,4406,4406,4497
266,63,8,2079,2152,2214,73,73,136
267,79,6,2127,4123,4201,1996,1996,2075
268,79,8,2183,4202,4280,2019,2019,2098
269,78,3,2191,3731,3808,1540,1540,1618
270,75,7,2212,2215,2289,3,3,78
271,87,9,2233,6010,6096,3777,3777,3864
272,78,3,2278,3809,3886,1531,1531,1609
273,73,7,2295,2505,2577,210,210,283
274,68,5,2347,2366,2433,19,19,87
275,79,1,2383,4281,4359,1898,1898,1977
276,71,8,2427,2434,2504,7,7,78
277,78,1,2490,3887,3964,1397,1397,1475
278,77,5,2506,3577,3653,1071,1071,1148
279,84,9,2535,5497,5580,2962,2962,3046
280,94,4,2539,6730,6823,4191,4191,4285
281,62,2,2554,2578,2639,24,24,86
282,91,1,2590,6548,6638,3958,3958,4049
283,72,1,2643,2779,2850,136,136,208
284,91,9,2657,6639,6729,3982,3982,4073
285,63,3,2659,2716,2778,57,57,120
286,85,0,2725,5666,5750,2941,2941,3026
287,77,7,2777,3654,3730,877,877,954
288,83,7,2816,5414,5496,2598,2598,2681
289,67,0,2838,2851,2917,13,13,80
290,104,8,2853,7613,7716,4760,4760,4864
291,85,5,2876,5751,5835,2875,2875,2960
292,69,5,2893,2918,2986,25,25,94
293,57,8,2948,2987,3043,39,39,96
294,62,5,2950,3213,3274,263,263,325
295,59,2,2952,3044,3102,92,92,151
296,100,4,3018,7306,7405,4288,4288,4388
297,52,8,3068,3103,3154,35,35,87
298,96,0,3122,7016,7111,3894,3894,3990
299,58,7,3125,3155,3212,30,30,88
300,72,1,3186,3275,3346,89,89,161
,,,,,,,,
,,,,,Min,0,0,63
,,,,,Mean,1989.97,1989.97,2067.53
,,,,,Max,7123,7123,7230
,,,,,StdDev,2875.39,2875.39,2957.13
