Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,94,6,68,68,161,0,0,94
102,85,1,128,162,246,34,34,119
103,80,6,184,563,642,379,379,459
104,62,9,223,247,308,24,24,86
105,64,9,272,309,372,37,37,101
106,78,3,315,373,450,58,58,136
107,81,0,377,4760,4840,4383,4383,4464
108,55,3,408,451,505,43,43,98
109,81,7,466,4841,4921,4375,4375,4456
110,57,5,500,506,562,6,6,63
111,82,6,541,5084,5165,4543,4543,4625
112,80,7,585,4360,4439,3775,3775,3855
113,107,9,594,7717,7823,7123,7123,7230
114,69,0,622,643,711,21,21,90
115,96,1,634,6824,6919,6190,6190,6286
116,91,1,660,6275,6365,5615,5615,5706
117,68,6,670,712,779,42,42,110
118,80,8,678,4440,4519,3762,3762,3842
119,67,8,735,780,901,100,45,167
120,87,2,780,5836,5922,5056,5056,5143
121,55,4,791,791,845,0,0,55
122,75,2,828,1103,1177,275,275,350
123,80,9,852,4520,4599,3668,3668,3748
124,66,1,881,965,1030,84,84,150
125,63,8,892,902,964,10,10,73
126,75,2,895,1178,1252,283,283,358
127,83,4,938,5248,5330,4310,4310,4393
128,75,2,958,1253,1327,295,295,370
129,77,2,980,3423,3499,2443,2443,2520
130,72,9,982,1031,1102,49,49,121
131,81,3,1012,4922,5002,3910,3910,3991
132,89,0,1028,6097,6185,5069,5069,5158
133,96,9,1058,6920,7015,5862,5862,5958
134,97,8,1066,7112,7208,6046,6046,6143
135,75,8,1069,1737,1811,668,668,743
136,85,6,1104,5581,5665,4477,4477,4562
137,82,4,1153,5166,5247,4013,4013,4095
138,77,8,1209,3500,3576,2291,2291,2368
139,87,5,1252,5923,6009,4671,4671,4758
140,62,2,1285,1328,1389,43,43,105
141,79,8,1338,3965,4043,2627,2627,2706
142,69,7,1380,1390,1458,10,10,79
143,83,2,1414,5331,5413,3917,3917,4000
144,76,9,1448,1882,1957,434,434,510
145,67,0,1454,1459,1525,5,5,72
146,72,3,1475,1596,1667,121,121,193
147,70,2,1489,1526,1595,37,37,107
148,89,2,1555,6186,6274,4631,4631,4720
149,76,0,1575,2290,2365,715,715,791
150,69,8,1631,1668,1736,37,37,106
151,79,8,1680,4044,4122,2364,2364,2443
152,97,6,1724,7209,7305,5485,5485,5582
153,70,5,1749,1812,1881,63,63,133
154,91,1,1801,6366,6456,4565,4565,4656
155,80,9,1854,4600,4679,2746,2746,2826
156,76,9,1890,2640,2850,885,750,961
157,103,7,1904,7406,7508,5502,5502,5605
158,48,9,1927,1958,2005,31,31,79
159,80,1,1930,4680,4759,2750,2750,2830
160,76,5,1951,3347,3422,1396,1396,1472
161,81,2,1953,5003,5083,3050,3050,3131
162,72,4,1959,2006,2077,47,47,119
163,104,6,1985,7509,7612,5524,5524,5628
164,74,3,1998,2078,2214,143,80,217
165,91,4,2051,6457,6547,4406,4406,4497
166,63,8,2079,2079,2141,0,0,63
167,79,6,2127,4123,4201,1996,1996,2075
168,79,8,2183,4202,4280,2019,2019,2098
169,78,3,2191,3731,3808,1540,1540,1618
170,75,7,2212,2215,2289,3,3,78
171,87,9,2233,6010,6096,3777,3777,3864
172,78,3,2278,3809,3886,1531,1531,1609
173,73,7,2295,2505,2577,210,210,283
174,68,5,2347,2366,2433,19,19,87
175,79,1,2383,4281,4359,1898,1898,1977
176,71,8,2427,2434,2504,7,7,78
177,78,1,2490,3887,3964,1397,1397,1475
178,77,5,2506,3577,3653,1071,1071,1148
179,84,9,2535,5497,5580,2962,2962,3046
180,94,4,2539,6730,6823,4191,4191,4285
181,62,2,2554,2578,2639,24,24,86
182,91,1,2590,6548,6638,3958,3958,4049
183,72,1,2643,2643,2714,0,0,72
184,91,9,2657,6639,6729,3982,3982,4073
185,63,3,2659,2715,2777,56,56,119
186,85,0,2725,5666,5750,2941,2941,3026
187,77,7,2777,3654,3730,877,877,954
188,83,7,2816,5414,5496,2598,2598,2681
189,67,0,2838,2851,2917,13,13,80
190,104,8,2853,7613,7716,4760,4760,4864
191,85,5,2876,5751,5835,2875,2875,2960
192,69,5,2893,2918,2986,25,25,94
193,57,8,2948,2987,3043,39,39,96
194,62,5,2950,3213,3274,263,263,325
195,59,2,2952,3044,3102,92,92,151
196,100,4,3018,7306,7405,4288,4288,4388
197,52,8,3068,3103,3154,35,35,87
198,96,0,3122,7016,7111,3894,3894,3990
199,58,7,3125,3155,3212,30,30,88
200,72,1,3186,3275,3346,89,89,161
,,,,,,,,
,,,,,Min,0,0,55
,,,,,Mean,1989.84,1987.31,2067.40
,,,,,Max,7123,7123,7230
,,,,,StdDev,2875.86,2877.20,2957.59
