Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
251,31,8,52,52,82,0,0,31
252,40,9,96,96,135,0,0,40
253,30,0,142,142,171,0,0,30
254,45,4,195,195,239,0,0,45
255,37,4,212,240,276,28,28,65
256,44,8,215,488,531,273,273,317
257,39,6,226,381,419,155,155,194
258,37,1,252,277,313,25,25,62
259,32,2,303,314,345,11,11,43
260,35,3,345,346,380,1,1,36
261,46,6,355,568,613,213,213,259
262,32,7,419,420,451,1,1,33
263,36,4,448,452,487,4,4,40
264,51,2,492,3961,4011,3469,3469,3520
265,36,9,528,532,567,4,4,40
266,40,4,575,614,653,39,39,79
267,44,4,606,654,697,48,48,92
268,49,3,630,3716,3764,3086,3086,3135
269,41,7,674,698,738,24,24,65
270,31,6,705,739,769,34,34,65
271,40,6,756,770,809,14,14,54
272,40,3,803,810,849,7,7,47
273,47,4,842,883,929,41,41,88
274,33,1,842,850,882,8,8,41
275,45,5,885,930,974,45,45,90
276,49,1,934,3765,3813,2831,2831,2880
277,40,8,960,975,1014,15,15,55
278,39,8,996,1015,1053,19,19,58
279,45,7,1044,1085,1129,41,41,86
280,31,2,1052,1054,1084,2,2,33
281,44,1,1092,1130,1173,38,38,82
282,37,9,1154,1174,1210,20,20,57
283,44,7,1172,1457,1500,285,285,329
284,33,6,1200,1211,1243,11,11,44
285,44,2,1200,1617,1660,417,417,461
286,38,1,1210,1277,1314,67,67,105
287,33,9,1231,1244,1276,13,13,46
288,38,4,1249,1348,1385,99,99,137
289,33,0,1315,1315,1347,0,0,33
290,37,1,1359,1386,1422,27,27,64
291,34,8,1409,1423,1456,14,14,48
292,38,0,1472,1501,1538,29,29,67
293,38,5,1473,1539,1576,66,66,104
294,40,2,1539,1577,1616,38,38,78
295,44,1,1589,1661,1704,72,72,116
296,46,3,1624,2693,2738,1069,1069,1115
297,42,2,1671,1705,1746,34,34,76
298,42,5,1681,1782,1823,101,101,143
299,35,9,1726,1747,1781,21,21,56
300,44,0,1773,2047,2090,274,274,318
301,41,4,1789,1824,1864,35,35,76
302,41,3,1812,1896,1936,84,84,125
303,31,9,1847,1865,1895,18,18,49
304,45,7,1858,2443,2487,585,585,630
305,41,8,1926,1974,2014,48,48,89
306,37,1,1928,1937,1973,9,9,46
307,32,5,1992,2015,2046,23,23,55
308,44,0,2019,2209,2252,190,190,234
309,47,8,2019,3669,3715,1650,1650,1697
310,49,7,2060,3814,3862,1754,1754,1803
311,33,3,2082,2091,2123,9,9,42
312,43,9,2093,2124,2166,31,31,74
313,45,2,2112,2523,2567,411,411,456
314,42,1,2151,2167,2208,16,16,58
315,34,6,2220,2253,2286,33,33,67
316,44,5,2248,2287,2330,39,39,83
317,41,9,2306,2331,2371,25,25,66
318,49,1,2306,3863,3911,1557,1557,1606
319,34,0,2342,2372,2405,30,30,64
320,37,5,2374,2406,2442,32,32,69
321,49,9,2432,3912,3960,1480,1480,1529
322,35,4,2471,2488,2522,17,17,52
323,51,8,2503,4012,4062,1509,1509,1560
324,43,3,2554,2568,2610,14,14,57
325,40,9,2585,2611,2650,26,26,66
326,42,7,2649,2651,2692,2,2,44
327,41,3,2717,2772,2812,55,55,96
328,33,8,2729,2739,2771,10,10,43
329,46,5,2792,2845,2890,53,53,99
330,32,0,2801,2813,2844,12,12,44
331,41,6,2853,2891,2931,38,38,79
332,44,9,2861,3535,3578,674,674,718
333,41,6,2864,3005,3045,141,141,182
334,40,9,2892,2932,2971,40,40,80
335,42,2,2917,3123,3164,206,206,248
336,33,9,2969,2972,3004,3,3,36
337,38,4,3032,3046,3083,14,14,52
338,39,6,3063,3084,3122,21,21,60
339,29,7,3128,3165,3193,37,37,66
340,42,0,3169,3194,3235,25,25,67
341,38,3,3199,3236,3273,37,37,75
342,38,0,3247,3274,3311,27,27,65
343,38,6,3266,3312,3349,46,46,84
344,45,6,3272,3579,3623,307,307,352
345,43,3,3318,3492,3534,174,174,217
346,32,2,3340,3380,3411,40,40,72
347,30,9,3350,3350,3379,0,0,30
348,40,6,3412,3412,3451,0,0,40
349,40,2,3442,3452,3491,10,10,50
350,45,7,3472,3624,3668,152,152,197
,,,,,,,,
,,,,,Min,0,0,30
,,,,,Mean,248.82,248.82,288.51
,,,,,Max,3469,3469,3520
,,,,,StdDev,627.57,627.57,630.70
