Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
351,31,8,52,52,82,0,0,31
352,40,9,96,96,135,0,0,40
353,30,0,142,142,171,0,0,30
354,45,4,195,195,239,0,0,45
355,37,4,212,240,276,28,28,65
356,44,8,215,488,531,273,273,317
357,39,6,226,381,419,155,155,194
358,37,1,252,277,313,25,25,62
359,32,2,303,314,345,11,11,43
360,35,3,345,346,380,1,1,36
361,46,6,355,568,613,213,213,259
362,32,7,419,420,451,1,1,33
363,36,4,448,452,487,4,4,40
364,51,2,492,3961,4011,3469,3469,3520
365,36,9,528,532,567,4,4,40
366,40,4,575,614,653,39,39,79
367,44,4,606,654,697,48,48,92
368,49,3,630,3716,3764,3086,3086,3135
369,41,7,674,698,769,55,24,96
370,31,6,705,705,735,0,0,31
371,40,6,756,770,809,14,14,54
372,40,3,803,810,849,7,7,47
373,47,4,842,883,929,41,41,88
374,33,1,842,850,882,8,8,41
375,45,5,885,930,974,45,45,90
376,49,1,934,3765,3813,2831,2831,2880
377,40,8,960,975,1014,15,15,55
378,39,8,996,1015,1053,19,19,58
379,45,7,1044,1085,1129,41,41,86
380,31,2,1052,1054,1084,2,2,33
381,44,1,1092,1130,1173,38,38,82
382,37,9,1154,1174,1210,20,20,57
383,44,7,1172,1457,1500,285,285,329
384,33,6,1200,1211,1243,11,11,44
385,44,2,1200,1617,1660,417,417,461
386,38,1,1210,1277,1314,67,67,105
387,33,9,1231,1244,1276,13,13,46
388,38,4,1249,1348,1385,99,99,137
389,33,0,1315,1315,1347,0,0,33
390,37,1,1359,1386,1422,27,27,64
391,34,8,1409,1423,1456,14,14,48
392,38,0,1472,1501,1538,29,29,67
393,38,5,1473,1539,1576,66,66,104
394,40,2,1539,1577,1616,38,38,78
395,44,1,1589,1661,1704,72,72,116
396,46,3,1624,2693,2738,1069,1069,1115
397,42,2,1671,1705,1746,34,34,76
398,42,5,1681,1782,1823,101,101,143
399,35,9,1726,1747,1781,21,21,56
400,44,0,1773,2047,2090,274,274,318
401,41,4,1789,1824,1864,35,35,76
402,41,3,1812,1896,1936,84,84,125
403,31,9,1847,1865,1895,18,18,49
404,45,7,1858,2443,2487,585,585,630
405,41,8,1926,1974,2014,48,48,89
406,37,1,1928,1937,1973,9,9,46
407,32,5,1992,2015,2046,23,23,55
408,44,0,2019,2209,2252,190,190,234
409,47,8,2019,3669,3715,1650,1650,1697
410,49,7,2060,3814,3862,1754,1754,1803
411,33,3,2082,2091,2123,9,9,42
412,43,9,2093,2124,2166,31,31,74
413,45,2,2112,2523,2567,411,411,456
414,42,1,2151,2167,2208,16,16,58
415,34,6,2220,2253,2286,33,33,67
416,44,5,2248,2287,2330,39,39,83
417,41,9,2306,2331,2371,25,25,66
418,49,1,2306,3863,3911,1557,1557,1606
419,34,0,2342,2372,2405,30,30,64
420,37,5,2374,2406,2442,32,32,69
421,49,9,2432,3912,3960,1480,1480,1529
422,35,4,2471,2488,2522,17,17,52
423,51,8,2503,4012,4062,1509,1509,1560
424,43,3,2554,2568,2610,14,14,57
425,40,9,2585,2611,2650,26,26,66
426,42,7,2649,2651,2692,2,2,44
427,41,3,2717,2772,2812,55,55,96
428,33,8,2729,2739,2771,10,10,43
429,46,5,2792,2845,2890,53,53,99
430,32,0,2801,2813,2844,12,12,44
431,41,6,2853,2891,2931,38,38,79
432,44,9,2861,3535,3578,674,674,718
433,41,6,2864,3005,3045,141,141,182
434,40,9,2892,2932,2971,40,40,80
435,42,2,2917,3123,3193,235,206,277
436,33,9,2969,2972,3004,3,3,36
437,38,4,3032,3046,3083,14,14,52
438,39,6,3063,3084,3122,21,21,60
439,29,7,3128,3128,3156,0,0,29
440,42,0,3169,3194,3235,25,25,67
441,38,3,3199,3236,3273,37,37,75
442,38,0,3247,3274,3311,27,27,65
443,38,6,3266,3312,3349,46,46,84
444,45,6,3272,3579,3623,307,307,352
445,43,3,3318,3492,3534,174,174,217
446,32,2,3340,3380,3411,40,40,72
447,30,9,3350,3350,3379,0,0,30
448,40,6,3412,3412,3451,0,0,40
449,40,2,3442,3452,3491,10,10,50
450,45,7,3472,3624,3668,152,152,197
,,,,,,,,
,,,,,Min,0,0,29
,,,,,Mean,248.71,248.11,288.40
,,,,,Max,3469,3469,3520
,,,,,StdDev,627.72,627.84,630.86
