Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,54,5,27,27,80,0,0,54
102,73,1,77,81,153,4,4,77
103,38,0,136,154,191,18,18,56
104,55,9,139,192,281,88,53,143
105,35,7,194,194,228,0,0,35
106,65,5,258,282,346,24,24,89
107,49,4,300,391,439,91,91,140
108,44,1,325,347,390,22,22,66
109,64,3,351,3741,3804,3390,3390,3454
110,66,3,368,4190,4255,3822,3822,3888
111,49,9,399,440,488,41,41,90
112,58,0,459,489,546,30,30,88
113,56,2,521,547,602,26,26,82
114,76,5,546,5300,5375,4754,4754,4830
115,36,7,579,603,638,24,24,60
116,61,0,592,1984,2044,1392,1392,1453
117,57,2,603,1010,1066,407,407,464
118,56,3,619,907,962,288,288,344
119,52,3,626,639,690,13,13,65
120,64,5,641,3805,3868,3164,3164,3228
121,64,7,657,3869,3932,3212,3212,3276
122,66,0,661,4256,4321,3595,3595,3661
123,41,6,665,691,731,26,26,67
124,60,5,671,1830,1889,1159,1159,1219
125,40,4,705,732,771,27,27,67
126,55,4,751,772,826,21,21,76
127,45,4,788,862,906,74,74,119
128,35,1,803,827,861,24,24,59
129,80,5,831,5454,5533,4623,4623,4703
130,73,5,888,5081,5153,4193,4193,4266
131,47,2,933,963,1009,30,30,77
132,59,8,983,1662,1720,679,679,738
133,66,5,1013,4322,4387,3309,3309,3375
134,45,6,1024,1067,1111,43,43,88
135,50,3,1090,1112,1161,22,22,72
136,68,1,1132,4454,4521,3322,3322,3390
137,55,2,1137,1162,1216,25,25,80
138,55,2,1179,1366,1420,187,187,242
139,46,4,1217,1217,1262,0,0,46
140,63,1,1243,2828,2975,1670,1585,1733
141,54,7,1262,1263,1316,1,1,55
142,49,7,1299,1317,1365,18,18,67
143,56,1,1343,1421,1476,78,78,134
144,62,8,1348,2416,2477,1068,1068,1130
145,73,5,1373,5154,5226,3781,3781,3854
146,70,3,1439,4727,4796,3288,3288,3358
147,48,0,1449,1518,1565,69,69,117
148,59,7,1459,1721,1779,262,262,321
149,41,3,1477,1477,1517,0,0,41
150,51,4,1524,1566,1616,42,42,93
151,72,5,1581,5009,5080,3428,3428,3500
152,45,8,1614,1617,1661,3,3,48
153,63,8,1651,3086,3148,1435,1435,1498
154,61,0,1689,2298,2358,609,609,670
155,65,7,1737,4125,4189,2388,2388,2453
156,50,1,1769,1780,1829,11,11,61
157,78,8,1793,5376,5453,3583,3583,3661
158,71,6,1856,4867,4937,3011,3011,3082
159,42,5,1876,1890,1931,14,14,56
160,52,3,1910,1932,1983,22,22,74
161,71,6,1977,4938,5008,2961,2961,3032
162,43,3,2007,2045,2087,38,38,81
163,47,7,2044,2088,2134,44,44,91
164,60,2,2082,2238,2297,156,156,216
165,58,4,2131,2135,2237,49,4,107
166,45,4,2140,2140,2184,0,0,45
167,62,1,2185,2478,2539,293,293,355
168,66,3,2254,4388,4453,2134,2134,2200
169,88,7,2292,5696,5783,3404,3404,3492
170,57,0,2359,2359,2415,0,0,57
171,82,6,2389,5614,5695,3225,3225,3307
172,64,2,2410,3933,3996,1523,1523,1587
173,62,9,2437,2540,2601,103,103,165
174,64,6,2498,3997,4060,1499,1499,1563
175,62,9,2558,2766,2827,208,208,270
176,55,5,2563,2602,2656,39,39,94
177,49,6,2618,2657,2705,39,39,88
178,60,1,2631,2706,2765,75,75,135
179,70,8,2670,4797,4866,2127,2127,2197
180,63,7,2724,3678,3740,954,954,1017
181,64,4,2739,4061,4124,1322,1322,1386
182,73,8,2787,5227,5299,2440,2440,2513
183,46,1,2839,2839,2884,0,0,46
184,39,9,2878,2885,2923,7,7,46
185,55,5,2909,2976,3030,67,67,122
186,55,0,2973,3031,3085,58,58,113
187,68,1,3036,4522,4589,1486,1486,1554
188,80,2,3051,5534,5613,2483,2483,2563
189,61,9,3116,3555,3615,439,439,500
190,52,3,3116,3229,3280,113,113,165
191,57,5,3124,3439,3495,315,315,372
192,37,3,3129,3149,3185,20,20,57
193,43,2,3158,3186,3228,28,28,71
194,56,8,3199,3281,3336,82,82,138
195,68,3,3237,4590,4657,1353,1353,1421
196,59,6,3281,3496,3554,215,215,274
197,54,6,3318,3337,3390,19,19,73
198,62,6,3326,3616,3677,290,290,352
199,69,6,3350,4658,4726,1308,1308,1377
200,48,2,3367,3391,3438,24,24,72
,,,,,,,,
,,,,,Min,0,0,35
,,,,,Mean,978.90,977.25,1036.47
,,,,,Max,4754,4754,4830
,,,,,StdDev,1662.08,1662.19,1794.56
