Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
151,24,1,57,57,80,0,0,24
152,21,6,105,105,125,0,0,21
153,17,4,173,173,189,0,0,17
154,19,6,233,233,251,0,0,19
155,17,4,295,295,311,0,0,17
156,20,2,334,334,353,0,0,20
157,21,7,373,373,393,0,0,21
158,19,9,414,414,432,0,0,19
159,20,7,473,473,492,0,0,20
160,20,9,534,534,553,0,0,20
161,16,2,559,559,574,0,0,16
162,21,9,610,610,630,0,0,21
163,20,5,668,668,687,0,0,20
164,21,1,695,695,715,0,0,21
165,23,7,728,728,750,0,0,23
166,18,4,760,760,777,0,0,18
167,15,5,786,786,800,0,0,15
168,18,1,800,801,818,1,1,19
169,23,9,815,819,841,4,4,27
170,18,6,825,842,859,17,17,35
171,22,8,865,865,886,0,0,22
172,16,6,868,887,902,19,19,35
173,19,7,931,931,949,0,0,19
174,19,4,966,966,984,0,0,19
175,22,2,1016,1016,1037,0,0,22
176,18,2,1017,1038,1055,21,21,39
177,22,4,1018,1093,1114,75,75,97
178,19,3,1024,1074,1092,50,50,69
179,18,6,1024,1056,1073,32,32,50
180,22,1,1088,1115,1136,27,27,49
181,21,2,1152,1152,1172,0,0,21
182,18,3,1176,1176,1193,0,0,18
183,20,6,1215,1215,1234,0,0,20
184,20,7,1270,1270,1289,0,0,20
185,19,2,1316,1316,1334,0,0,19
186,18,1,1369,1369,1386,0,0,18
187,26,2,1413,1413,1438,0,0,26
188,13,4,1446,1446,1458,0,0,13
189,18,1,1456,1459,1476,3,3,21
190,26,2,1469,1477,1502,8,8,34
191,21,0,1529,1529,1549,0,0,21
192,18,8,1539,1550,1567,11,11,29
193,16,5,1593,1593,1608,0,0,16
194,19,1,1618,1618,1636,0,0,19
195,20,9,1666,1666,1685,0,0,20
196,22,6,1724,1724,1745,0,0,22
197,22,7,1779,1779,1800,0,0,22
198,21,1,1832,1832,1852,0,0,21
199,18,3,1834,1853,1870,19,19,37
200,19,1,1900,1900,1918,0,0,19
201,13,5,1953,1953,1965,0,0,13
202,16,2,1993,1993,2008,0,0,16
203,18,6,2003,2009,2026,6,6,24
204,17,4,2066,2066,2082,0,0,17
205,16,9,2088,2088,2103,0,0,16
206,16,8,2108,2108,2123,0,0,16
207,20,4,2137,2137,2156,0,0,20
208,20,6,2176,2176,2195,0,0,20
209,21,4,2223,2223,2243,0,0,21
210,16,3,2227,2244,2259,17,17,33
211,15,7,2246,2260,2274,14,14,29
212,21,3,2262,2275,2295,13,13,34
213,23,3,2276,2350,2372,74,74,97
214,18,2,2292,2296,2313,4,4,22
215,18,7,2314,2314,2331,0,0,18
216,18,9,2322,2332,2349,10,10,28
217,22,2,2378,2378,2399,0,0,22
218,25,0,2420,2420,2444,0,0,25
219,23,8,2461,2461,2483,0,0,23
220,19,8,2483,2484,2502,1,1,20
221,16,1,2519,2519,2534,0,0,16
222,13,6,2549,2549,2561,0,0,13
223,19,2,2603,2603,2621,0,0,19
224,23,0,2644,2644,2666,0,0,23
225,26,1,2661,2667,2692,6,6,32
226,20,0,2704,2704,2723,0,0,20
227,18,6,2706,2724,2741,18,18,36
228,27,8,2754,2754,2780,0,0,27
229,17,6,2780,2781,2797,1,1,18
230,20,4,2816,2816,2835,0,0,20
231,23,7,2821,2836,2858,15,15,38
232,18,4,2875,2875,2892,0,0,18
233,21,8,2889,2928,2948,39,39,60
234,20,3,2890,2908,2927,18,18,38
235,15,0,2890,2893,2907,3,3,18
236,21,3,2903,2966,2986,63,63,84
237,23,0,2916,2987,3009,71,71,94
238,17,6,2941,2949,2965,8,8,25
239,18,5,3005,3010,3027,5,5,23
240,16,5,3069,3069,3084,0,0,16
241,23,3,3115,3115,3137,0,0,23
242,17,1,3117,3138,3154,21,21,38
243,21,7,3143,3155,3175,12,12,33
244,18,5,3196,3196,3213,0,0,18
245,23,6,3239,3239,3261,0,0,23
246,15,5,3304,3304,3318,0,0,15
247,22,4,3326,3326,3347,0,0,22
248,20,2,3369,3369,3388,0,0,20
249,14,7,3399,3399,3412,0,0,14
250,15,5,3422,3422,3436,0,0,15
,,,,,,,,
,,,,,Min,0,0,13
,,,,,Mean,7.06,7.06,26.43
,,,,,Max,75,75,97
,,,,,StdDev,15.88,15.88,16.58
