Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
401,78,8,51,51,128,0,0,78
402,77,6,77,129,205,52,52,129
403,76,6,90,206,281,116,116,192
404,63,6,129,282,344,153,153,216
405,75,7,197,388,462,191,191,266
406,57,7,257,652,708,395,395,452
407,77,7,264,939,1015,675,675,752
408,43,6,309,345,387,36,36,79
409,76,7,334,2195,2270,1861,1861,1937
410,82,7,390,2752,2833,2362,2362,2444
411,71,6,398,463,533,65,65,136
412,54,8,402,6160,6213,5758,5758,5812
413,51,7,416,2834,2884,2418,2418,2469
414,67,6,435,534,600,99,99,166
415,85,7,470,3374,3458,2904,2904,2989
416,60,7,504,3520,3579,3016,3016,3076
417,81,7,551,3623,3703,3072,3072,3153
418,51,6,596,601,651,5,5,56
419,77,7,660,3859,3935,3199,3199,3276
420,90,6,704,709,798,5,5,95
421,69,5,770,799,867,29,29,98
422,71,5,814,868,938,54,54,125
423,71,8,882,6214,6284,5332,5332,5403
424,84,8,908,6285,6368,5377,5377,5461
425,90,7,952,3936,4025,2984,2984,3074
426,76,4,1009,1016,1091,7,7,83
427,82,7,1039,4026,4107,2987,2987,3069
428,95,6,1081,1092,1186,11,11,106
429,69,5,1124,1187,1255,63,63,132
430,56,5,1158,1256,1311,98,98,154
431,82,7,1188,4108,4189,2920,2920,3002
432,59,6,1256,1312,1370,56,56,115
433,69,6,1302,1444,1512,142,142,211
434,67,6,1307,1513,1579,206,206,273
435,73,4,1343,1371,1443,28,28,101
436,55,6,1382,1652,1706,270,270,325
437,84,7,1410,4190,4273,2780,2780,2864
438,42,7,1464,4274,4315,2810,2810,2852
439,46,7,1511,4316,4361,2805,2805,2851
440,72,4,1580,1580,1651,0,0,72
441,76,6,1647,1707,1782,60,60,136
442,70,6,1666,1783,1852,117,117,187
443,50,6,1701,2145,2194,444,444,494
444,60,7,1713,4362,4421,2649,2649,2709
445,66,8,1726,6369,6434,4643,4643,4709
446,54,7,1759,4422,4475,2663,2663,2717
447,74,5,1821,1853,1926,32,32,106
448,64,7,1860,4476,4539,2616,2616,2680
449,80,5,1909,1927,2006,18,18,98
450,70,5,1952,2075,2144,123,123,193
451,68,4,2006,2007,2074,1,1,69
452,78,7,2067,4540,4617,2473,2473,2551
453,77,7,2130,4618,4694,2488,2488,2565
454,59,7,2143,4695,4753,2552,2552,2611
455,59,7,2195,4754,4812,2559,2559,2618
456,60,5,2225,2271,2330,46,46,106
457,79,6,2226,2331,2409,105,105,184
458,60,6,2293,2459,2518,166,166,226
459,63,7,2312,4813,4875,2501,2501,2564
460,78,6,2364,2519,2596,155,155,233
461,49,5,2370,2410,2458,40,40,89
462,86,7,2434,4876,4961,2442,2442,2528
463,75,6,2473,2597,2671,124,124,199
464,72,7,2489,4962,5033,2473,2473,2545
465,54,7,2492,5034,5087,2542,2542,2596
466,75,7,2556,5088,5162,2532,2532,2607
467,69,7,2579,5163,5231,2584,2584,2653
468,65,7,2604,5232,5296,2628,2628,2693
469,80,5,2622,2672,2751,50,50,130
470,77,8,2660,6435,6511,3775,3775,3852
471,72,7,2670,5297,5368,2627,2627,2699
472,65,7,2722,5369,5433,2647,2647,2712
473,71,8,2777,6512,6582,3735,3735,3806
474,99,6,2841,2885,2983,44,44,143
475,83,7,2842,5434,5516,2592,2592,2675
476,65,6,2874,2984,3048,110,110,175
477,83,7,2938,5517,5599,2579,2579,2662
478,55,7,2965,5600,5654,2635,2635,2690
479,82,6,3024,3049,3130,25,25,107
480,72,8,3047,6583,6654,3536,3536,3608
481,48,6,3110,3131,3178,21,21,69
482,66,7,3162,5655,5720,2493,2493,2559
483,64,6,3165,3179,3242,14,14,78
484,64,6,3223,3243,3306,20,20,84
485,49,9,3264,6790,6838,3526,3526,3575
486,67,6,3307,3307,3373,0,0,67
487,81,7,3362,5721,5801,2359,2359,2440
488,85,7,3373,5802,5886,2429,2429,2514
489,61,6,3441,3459,3519,18,18,79
490,64,9,3489,6839,6902,3350,3350,3414
491,68,7,3512,5887,5954,2375,2375,2443
492,82,8,3537,6655,6736,3118,3118,3200
493,43,6,3556,3580,3622,24,24,67
494,63,7,3561,5955,6017,2394,2394,2457
495,73,9,3571,6903,6975,3332,3332,3405
496,69,7,3582,6018,6086,2436,2436,2505
497,76,6,3634,3783,3858,149,149,225
498,79,5,3673,3704,3782,31,31,110
499,53,8,3686,6737,6789,3051,3051,3104
500,73,7,3722,6087,6159,2365,2365,2438
,,,,,,,,
,,,,,Min,0,0,56
,,,,,Mean,1549.77,1549.77,1619.02
,,,,,Max,5758,5758,5812
,,,,,StdDev,2231.83,2231.83,2232.00
