Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
801,78,8,51,51,6159,6031,0,6109
802,77,6,77,77,153,0,0,77
803,76,6,90,154,229,64,64,140
804,63,6,129,230,292,101,101,164
805,75,7,197,293,548,277,96,352
806,57,7,257,549,656,343,292,400
807,77,7,264,657,963,623,393,700
808,43,6,309,309,351,0,0,43
809,76,7,334,964,2218,1809,630,1885
810,82,7,390,2219,2781,2310,1829,2392
811,71,6,398,398,468,0,0,71
812,54,8,402,6160,6213,5758,5758,5812
813,51,7,416,2782,2832,2366,2366,2417
814,67,6,435,469,535,34,34,101
815,85,7,470,2833,3406,2852,2363,2937
816,60,7,504,3407,3527,2964,2903,3024
817,81,7,551,3528,3806,3175,2977,3256
818,51,6,596,596,646,0,0,51
819,77,7,660,3807,3883,3147,3147,3224
820,90,6,704,704,933,140,0,230
821,69,5,770,770,838,0,0,69
822,71,5,814,839,909,25,25,96
823,71,8,882,6214,6284,5332,5332,5403
824,84,8,908,6285,6368,5377,5377,5461
825,90,7,952,3884,3973,2932,2932,3022
826,76,4,1009,1009,1084,0,0,76
827,82,7,1039,3974,4055,2935,2935,3017
828,95,6,1081,1085,1304,129,4,224
829,69,5,1124,1124,1192,0,0,69
830,56,5,1158,1193,1248,35,35,91
831,82,7,1188,4056,4137,2868,2868,2950
832,59,6,1256,1305,1436,122,49,181
833,69,6,1302,1437,1505,135,135,204
834,67,6,1307,1506,1572,199,199,266
835,73,4,1343,1343,1415,0,0,73
836,55,6,1382,1573,1699,263,191,318
837,84,7,1410,4138,4221,2728,2728,2812
838,42,7,1464,4222,4263,2758,2758,2800
839,46,7,1511,4264,4309,2753,2753,2799
840,72,4,1580,1580,1651,0,0,72
841,76,6,1647,1700,1775,53,53,129
842,70,6,1666,1776,2137,402,110,472
843,50,6,1701,2138,2187,437,437,487
844,60,7,1713,4310,4369,2597,2597,2657
845,66,8,1726,6369,6434,4643,4643,4709
846,54,7,1759,4370,4423,2611,2611,2665
847,74,5,1821,1821,1894,0,0,74
848,64,7,1860,4424,4487,2564,2564,2628
849,80,5,1909,1909,1988,0,0,80
850,70,5,1952,1989,2126,105,37,175
851,68,4,2006,2006,2073,0,0,68
852,78,7,2067,4488,4565,2421,2421,2499
853,77,7,2130,4566,4642,2436,2436,2513
854,59,7,2143,4643,4701,2500,2500,2559
855,59,7,2195,4702,4760,2507,2507,2566
856,60,5,2225,2225,2284,0,0,60
857,79,6,2226,2285,2363,59,59,138
858,60,6,2293,2364,2472,120,71,180
859,63,7,2312,4761,4823,2449,2449,2512
860,78,6,2364,2473,2550,109,109,187
861,49,5,2370,2370,2418,0,0,49
862,86,7,2434,4824,4909,2390,2390,2476
863,75,6,2473,2551,2705,158,78,233
864,72,7,2489,4910,4981,2421,2421,2493
865,54,7,2492,4982,5035,2490,2490,2544
866,75,7,2556,5036,5110,2480,2480,2555
867,69,7,2579,5111,5179,2532,2532,2601
868,65,7,2604,5180,5244,2576,2576,2641
869,80,5,2622,2622,2701,0,0,80
870,77,8,2660,6435,6511,3775,3775,3852
871,72,7,2670,5245,5316,2575,2575,2647
872,65,7,2722,5317,5381,2595,2595,2660
873,71,8,2777,6512,6582,3735,3735,3806
874,99,6,2841,2841,2939,0,0,99
875,83,7,2842,5382,5464,2540,2540,2623
876,65,6,2874,2940,3004,66,66,131
877,83,7,2938,5465,5547,2527,2527,2610
878,55,7,2965,5548,5602,2583,2583,2638
879,82,6,3024,3024,3105,0,0,82
880,72,8,3047,6583,6654,3536,3536,3608
881,48,6,3110,3110,3157,0,0,48
882,66,7,3162,5603,5668,2441,2441,2507
883,64,6,3165,3165,3228,0,0,64
884,64,6,3223,3229,3292,6,6,70
885,49,9,3264,6790,6838,3526,3526,3575
886,67,6,3307,3307,3373,0,0,67
887,81,7,3362,5669,5749,2307,2307,2388
888,85,7,3373,5750,5834,2377,2377,2462
889,61,6,3441,3441,3501,0,0,61
890,64,9,3489,6839,6902,3350,3350,3414
891,68,7,3512,5835,5902,2323,2323,2391
892,82,8,3537,6655,6736,3118,3118,3200
893,43,6,3556,3556,3598,0,0,43
894,63,7,3561,5903,5965,2342,2342,2405
895,73,9,3571,6903,6975,3332,3332,3405
896,69,7,3582,5966,6034,2384,2384,2453
897,76,6,3634,3634,3788,79,0,155
898,79,5,3673,3673,3751,0,0,79
899,53,8,3686,6737,6789,3051,3051,3104
900,73,7,3722,6035,6107,2313,2313,2386
,,,,,,,,
,,,,,Min,0,0,43
,,,,,Mean,1585.26,1486.47,1654.51
,,,,,Max,5758,5758,5812
,,,,,StdDev,2267.13,2132.65,2267.57
