Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
301,53,2,19,19,71,0,0,53
302,66,1,57,72,137,15,15,81
303,74,3,85,138,211,53,53,127
304,69,1,140,212,280,72,72,141
305,64,2,151,483,546,332,332,396
306,64,1,167,281,344,114,114,178
307,72,1,235,345,416,110,110,182
308,62,2,264,547,608,283,283,345
309,81,2,317,1154,1234,837,837,918
310,64,2,374,3610,3673,3236,3236,3300
311,66,0,386,417,482,31,31,97
312,66,2,453,3674,3739,3221,3221,3287
313,75,2,501,3740,3814,3239,3239,3314
314,77,3,570,6303,6379,5733,5733,5810
315,64,2,604,3815,3878,3211,3211,3275
316,68,0,607,609,676,2,2,70
317,70,1,649,677,746,28,28,98
318,51,1,684,747,797,63,63,114
319,85,1,708,798,882,90,90,175
320,64,2,728,3879,3942,3151,3151,3215
321,79,2,758,3943,4021,3185,3185,3264
322,62,1,759,883,944,124,124,186
323,55,2,825,4022,4076,3197,3197,3252
324,56,2,830,4077,4132,3247,3247,3303
325,82,0,892,945,1026,53,53,135
326,74,1,922,1027,1100,105,105,179
327,76,2,983,4133,4208,3150,3150,3226
328,53,1,1049,1101,1153,52,52,105
329,68,2,1072,4209,4276,3137,3137,3205
330,61,2,1104,4277,4337,3173,3173,3234
331,64,2,1136,4338,4401,3202,3202,3266
332,64,2,1148,4402,4465,3254,3254,3318
333,74,1,1207,1301,1374,94,94,168
334,71,1,1213,1375,1445,162,162,233
335,66,0,1226,1235,1300,9,9,75
336,74,1,1286,1446,1519,160,160,234
337,64,1,1348,1651,1714,303,303,367
338,80,1,1396,1715,1794,319,319,399
339,67,2,1443,4466,4532,3023,3023,3090
340,64,0,1510,1520,1583,10,10,74
341,67,0,1516,1584,1650,68,68,135
342,67,2,1539,4533,4599,2994,2994,3061
343,76,2,1601,4600,4675,2999,2999,3075
344,58,2,1613,4676,4733,3063,3063,3121
345,70,3,1676,6380,6449,4704,4704,4774
346,79,2,1676,4734,4812,3058,3058,3137
347,58,0,1741,1795,1852,54,54,112
348,78,1,1771,1925,2002,154,154,232
349,59,1,1825,2074,2132,249,249,308
350,72,0,1853,1853,1924,0,0,72
351,66,3,1898,6450,6515,4552,4552,4618
352,91,1,1900,2133,2223,233,233,324
353,71,0,1949,2003,2073,54,54,125
354,67,4,1974,6862,6928,4888,4888,4955
355,68,1,2003,2224,2291,221,221,289
356,55,2,2046,4813,4867,2767,2767,2822
357,69,2,2071,4868,4936,2797,2797,2866
358,64,1,2140,2369,2432,229,229,293
359,80,2,2191,4937,5016,2746,2746,2826
360,72,1,2215,2848,2919,633,633,705
361,77,0,2281,2292,2368,11,11,88
362,82,1,2303,2920,3001,617,617,699
363,60,2,2347,5017,5076,2670,2670,2730
364,61,2,2353,5077,5137,2724,2724,2785
365,50,0,2390,2433,2482,43,43,93
366,67,0,2449,2483,2549,34,34,101
367,69,1,2475,3002,3070,527,527,596
368,73,3,2505,6516,6588,4011,4011,4084
369,69,0,2543,2550,2618,7,7,76
370,73,2,2558,5138,5210,2580,2580,2653
371,78,2,2587,5211,5288,2624,2624,2702
372,82,0,2606,2619,2700,13,13,95
373,65,3,2612,6589,6653,3977,3977,4042
374,72,0,2642,2701,2772,59,59,131
375,63,2,2675,5289,5351,2614,2614,2677
376,65,2,2711,5352,5416,2641,2641,2706
377,59,1,2712,3071,3129,359,359,418
378,59,3,2723,6654,6712,3931,3931,3990
379,75,0,2733,2773,2847,40,40,115
380,56,1,2759,3130,3185,371,371,427
381,70,1,2807,3186,3255,379,379,449
382,78,2,2841,5417,5494,2576,2576,2654
383,63,2,2900,5495,5557,2595,2595,2658
384,70,2,2940,5558,5627,2618,2618,2688
385,82,3,3001,6713,6794,3712,3712,3794
386,81,1,3012,3256,3336,244,244,325
387,68,2,3019,5628,5695,2609,2609,2677
388,81,2,3026,5696,5776,2670,2670,2751
389,67,3,3086,6795,6861,3709,3709,3776
390,90,2,3099,5777,5866,2678,2678,2768
391,63,1,3112,3414,3476,302,302,365
392,64,2,3143,5867,5930,2724,2724,2788
393,66,2,3204,5931,5996,2727,2727,2793
394,64,1,3205,3477,3540,272,272,336
395,74,2,3238,5997,6070,2759,2759,2833
396,90,2,3298,6071,6160,2773,2773,2863
397,67,2,3316,6161,6227,2845,2845,2912
398,77,0,3316,3337,3413,21,21,98
399,69,1,3382,3541,3609,159,159,228
400,75,2,3427,6228,6302,2801,2801,2876
,,,,,,,,
,,,,,Min,0,0,53
,,,,,Mean,1612.69,1612.69,1681.79
,,,,,Max,5733,5733,5810
,,,,,StdDev,2262.25,2262.25,2356.25
