Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
901,53,2,19,19,137,66,0,119
902,66,1,57,57,122,0,0,66
903,74,3,85,138,6302,6144,53,6218
904,69,1,140,140,208,0,0,69
905,64,2,151,345,474,260,194,324
906,64,1,167,209,272,42,42,106
907,72,1,235,273,344,38,38,110
908,62,2,264,475,536,211,211,273
909,81,2,317,537,1162,765,220,846
910,64,2,374,1163,3601,3164,789,3228
911,66,0,386,386,451,0,0,66
912,66,2,453,3602,3667,3149,3149,3215
913,75,2,501,3668,3742,3167,3167,3242
914,77,3,570,6303,6379,5733,5733,5810
915,64,2,604,3743,3806,3139,3139,3203
916,68,0,607,607,674,0,0,68
917,70,1,649,675,744,26,26,96
918,51,1,684,745,795,61,61,112
919,85,1,708,796,880,88,88,173
920,64,2,728,3807,3870,3079,3079,3143
921,79,2,758,3871,3949,3113,3113,3192
922,62,1,759,881,1024,204,122,266
923,55,2,825,3950,4004,3125,3125,3180
924,56,2,830,4005,4060,3175,3175,3231
925,82,0,892,892,973,0,0,82
926,74,1,922,1025,1098,103,103,177
927,76,2,983,4061,4136,3078,3078,3154
928,53,1,1049,1099,1151,50,50,103
929,68,2,1072,4137,4204,3065,3065,3133
930,61,2,1104,4205,4265,3101,3101,3162
931,64,2,1136,4266,4329,3130,3130,3194
932,64,2,1148,4330,4393,3182,3182,3246
933,74,1,1207,1207,1346,66,0,140
934,71,1,1213,1347,1417,134,134,205
935,66,0,1226,1226,1291,0,0,66
936,74,1,1286,1418,1491,132,132,206
937,64,1,1348,1492,1686,275,144,339
938,80,1,1396,1687,1824,349,291,429
939,67,2,1443,4394,4460,2951,2951,3018
940,64,0,1510,1510,1573,0,0,64
941,67,0,1516,1574,1640,58,58,125
942,67,2,1539,4461,4527,2922,2922,2989
943,76,2,1601,4528,4603,2927,2927,3003
944,58,2,1613,4604,4661,2991,2991,3049
945,70,3,1676,6380,6449,4704,4704,4774
946,79,2,1676,4662,4740,2986,2986,3065
947,58,0,1741,1741,1798,0,0,58
948,78,1,1771,1825,2045,197,54,275
949,59,1,1825,2046,2104,221,221,280
950,72,0,1853,1853,1924,0,0,72
951,66,3,1898,6450,6515,4552,4552,4618
952,91,1,1900,2105,2195,205,205,296
953,71,0,1949,1949,2019,0,0,71
954,67,4,1974,6862,6928,4888,4888,4955
955,68,1,2003,2196,2263,193,193,261
956,55,2,2046,4741,4795,2695,2695,2750
957,69,2,2071,4796,4864,2725,2725,2794
958,64,1,2140,2264,2521,318,124,382
959,80,2,2191,4865,4944,2674,2674,2754
960,72,1,2215,2522,2891,605,307,677
961,77,0,2281,2281,2357,0,0,77
962,82,1,2303,2892,2973,589,589,671
963,60,2,2347,4945,5004,2598,2598,2658
964,61,2,2353,5005,5065,2652,2652,2713
965,50,0,2390,2390,2439,0,0,50
966,67,0,2449,2449,2515,0,0,67
967,69,1,2475,2974,3042,499,499,568
968,73,3,2505,6516,6588,4011,4011,4084
969,69,0,2543,2543,2611,0,0,69
970,73,2,2558,5066,5138,2508,2508,2581
971,78,2,2587,5139,5216,2552,2552,2630
972,82,0,2606,2612,2693,6,6,88
973,65,3,2612,6589,6653,3977,3977,4042
974,72,0,2642,2694,2765,52,52,124
975,63,2,2675,5217,5279,2542,2542,2605
976,65,2,2711,5280,5344,2569,2569,2634
977,59,1,2712,3043,3101,331,331,390
978,59,3,2723,6654,6712,3931,3931,3990
979,75,0,2733,2766,2840,33,33,108
980,56,1,2759,3102,3157,343,343,399
981,70,1,2807,3158,3227,351,351,421
982,78,2,2841,5345,5422,2504,2504,2582
983,63,2,2900,5423,5485,2523,2523,2586
984,70,2,2940,5486,5555,2546,2546,2616
985,82,3,3001,6713,6794,3712,3712,3794
986,81,1,3012,3228,3308,216,216,297
987,68,2,3019,5556,5623,2537,2537,2605
988,81,2,3026,5624,5704,2598,2598,2679
989,67,3,3086,6795,6861,3709,3709,3776
990,90,2,3099,5705,5794,2606,2606,2696
991,63,1,3112,3309,3448,274,197,337
992,64,2,3143,5795,5858,2652,2652,2716
993,66,2,3204,5859,5924,2655,2655,2721
994,64,1,3205,3449,3512,244,244,308
995,74,2,3238,5925,5998,2687,2687,2761
996,90,2,3298,5999,6088,2701,2701,2791
997,67,2,3316,6089,6155,2773,2773,2840
998,77,0,3316,3316,3392,0,0,77
999,69,1,3382,3513,3581,131,131,200
1000,75,2,3427,6156,6230,2729,2729,2804
,,,,,,,,
,,,,,Min,0,0,50
,,,,,Mean,1635.67,1533.75,1704.77
,,,,,Max,6144,5733,6218
,,,,,StdDev,2292.78,2159.13,2385.69
