Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,30,6,23,23,52,0,0,30
202,25,7,30,53,77,23,23,48
203,23,5,63,78,100,15,15,38
204,31,5,81,101,131,20,20,51
205,31,6,133,133,163,0,0,31
206,23,5,149,164,186,15,15,38
207,14,6,179,187,200,8,8,22
208,26,6,181,201,226,20,20,46
209,34,6,200,227,260,27,27,61
210,27,7,206,261,287,55,55,82
211,28,8,264,356,383,92,92,120
212,21,7,264,315,335,51,51,72
213,27,5,265,288,314,23,23,50
214,20,6,322,336,355,14,14,34
215,30,5,373,384,413,11,11,41
216,29,6,382,414,442,32,32,61
217,22,7,439,443,464,4,4,26
218,33,5,474,474,506,0,0,33
219,21,5,511,511,531,0,0,21
220,28,7,532,532,559,0,0,28
221,17,7,560,560,576,0,0,17
222,32,8,568,577,608,9,9,41
223,32,7,615,615,646,0,0,32
224,36,6,630,647,682,17,17,53
225,35,4,685,685,719,0,0,35
226,34,6,722,722,755,0,0,34
227,26,6,734,756,781,22,22,48
228,33,6,758,782,814,24,24,57
229,28,7,793,815,842,22,22,50
230,29,7,815,843,871,28,28,57
231,30,7,815,872,901,57,57,87
232,31,8,875,902,932,27,27,58
233,33,7,923,933,965,10,10,43
234,31,6,960,1001,1031,41,41,72
235,35,5,960,966,1000,6,6,41
236,35,9,997,1032,1066,35,35,70
237,27,8,1044,1067,1093,23,23,50
238,33,8,1071,1094,1126,23,23,56
239,26,6,1097,1127,1152,30,30,56
240,28,5,1150,1153,1180,3,3,31
241,29,5,1193,1193,1221,0,0,29
242,39,6,1230,1230,1268,0,0,39
243,37,6,1266,1269,1305,3,3,40
244,27,6,1293,1306,1332,13,13,40
245,33,6,1355,1355,1387,0,0,33
246,32,7,1413,1413,1444,0,0,32
247,26,6,1431,1445,1470,14,14,40
248,38,7,1459,1471,1508,12,12,50
249,24,6,1479,1509,1532,30,30,54
250,22,7,1528,1533,1554,5,5,27
251,26,9,1531,1555,1580,24,24,50
252,34,5,1585,1585,1618,0,0,34
253,28,6,1610,1619,1646,9,9,37
254,31,6,1620,1647,1677,27,27,58
255,18,6,1677,1678,1695,1,1,19
256,24,7,1684,1696,1719,12,12,36
257,29,8,1736,1736,1764,0,0,29
258,32,6,1780,1780,1811,0,0,32
259,31,5,1843,1843,1873,0,0,31
260,30,6,1903,1903,1932,0,0,30
261,34,5,1921,1933,1966,12,12,46
262,33,7,1979,1979,2011,0,0,33
263,27,7,2036,2036,2062,0,0,27
264,31,4,2076,2076,2106,0,0,31
265,26,5,2077,2107,2132,30,30,56
266,20,7,2130,2133,2152,3,3,23
267,32,6,2177,2177,2208,0,0,32
268,27,9,2189,2209,2235,20,20,47
269,31,8,2252,2252,2282,0,0,31
270,21,7,2283,2283,2303,0,0,21
271,27,7,2295,2304,2330,9,9,36
272,27,8,2311,2331,2357,20,20,47
273,33,6,2380,2380,2412,0,0,33
274,35,6,2406,2413,2447,7,7,42
275,25,7,2443,2448,2472,5,5,30
276,36,6,2453,2473,2508,20,20,56
277,29,6,2484,2509,2537,25,25,54
278,30,7,2518,2538,2567,20,20,50
279,31,7,2582,2582,2612,0,0,31
280,35,5,2588,2613,2647,25,25,60
281,26,6,2651,2651,2676,0,0,26
282,28,5,2679,2679,2706,0,0,28
283,26,6,2699,2707,2732,8,8,34
284,32,6,2717,2733,2764,16,16,48
285,35,7,2785,2785,2819,0,0,35
286,22,8,2803,2820,2841,17,17,39
287,38,6,2865,2865,2902,0,0,38
288,36,5,2877,2903,2938,26,26,62
289,29,7,2929,2939,2967,10,10,39
290,34,7,2929,2968,3001,39,39,73
291,31,6,2988,3002,3032,14,14,45
292,19,6,3037,3037,3055,0,0,19
293,24,6,3092,3092,3115,0,0,24
294,38,6,3101,3116,3153,15,15,53
295,23,10,3131,3182,3204,51,51,74
296,28,6,3147,3154,3181,7,7,35
297,24,5,3206,3206,3229,0,0,24
298,28,6,3222,3230,3257,8,8,36
299,25,7,3234,3258,3282,24,24,49
300,29,7,3257,3283,3311,26,26,55
,,,,,,,,
,,,,,Min,0,0,17
,,,,,Mean,13.94,13.94,42.83
,,,,,Max,92,92,120
,,,,,StdDev,15.93,15.93,16.51
