Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
601,30,6,23,23,52,0,0,30
602,25,7,30,53,131,77,23,102
603,23,5,63,63,85,0,0,23
604,31,5,81,86,116,5,5,36
605,31,6,133,133,186,23,0,54
606,23,5,149,149,171,0,0,23
607,14,6,179,187,200,8,8,22
608,26,6,181,201,226,20,20,46
609,34,6,200,227,260,27,27,61
610,27,7,206,261,314,82,55,109
611,28,8,264,356,464,173,92,201
612,21,7,264,315,355,71,51,92
613,27,5,265,265,291,0,0,27
614,20,6,322,322,341,0,0,20
615,30,5,373,373,402,0,0,30
616,29,6,382,403,431,21,21,50
617,22,7,439,439,460,0,0,22
618,33,5,474,474,506,0,0,33
619,21,5,511,511,531,0,0,21
620,28,7,532,532,559,0,0,28
621,17,7,560,560,576,0,0,17
622,32,8,568,577,608,9,9,41
623,32,7,615,615,682,36,0,68
624,36,6,630,630,665,0,0,36
625,35,4,685,685,719,0,0,35
626,34,6,722,722,755,0,0,34
627,26,6,734,756,781,22,22,48
628,33,6,758,782,814,24,24,57
629,28,7,793,815,842,22,22,50
630,29,7,815,843,871,28,28,57
631,30,7,815,872,901,57,57,87
632,31,8,875,902,1031,126,27,157
633,33,7,923,923,955,0,0,33
634,31,6,960,995,1025,35,35,66
635,35,5,960,960,994,0,0,35
636,35,9,997,1032,1180,149,35,184
637,27,8,1044,1044,1070,0,0,27
638,33,8,1071,1071,1129,26,0,59
639,26,6,1097,1097,1122,0,0,26
640,28,5,1150,1150,1177,0,0,28
641,29,5,1193,1193,1221,0,0,29
642,39,6,1230,1230,1268,0,0,39
643,37,6,1266,1269,1305,3,3,40
644,27,6,1293,1306,1332,13,13,40
645,33,6,1355,1355,1387,0,0,33
646,32,7,1413,1413,1470,26,0,58
647,26,6,1431,1431,1456,0,0,26
648,38,7,1459,1471,1532,36,12,74
649,24,6,1479,1479,1502,0,0,24
650,22,7,1528,1533,1554,5,5,27
651,26,9,1531,1555,1580,24,24,50
652,34,5,1585,1585,1618,0,0,34
653,28,6,1610,1619,1646,9,9,37
654,31,6,1620,1647,1677,27,27,58
655,18,6,1677,1678,1695,1,1,19
656,24,7,1684,1696,1719,12,12,36
657,29,8,1736,1736,1764,0,0,29
658,32,6,1780,1780,1811,0,0,32
659,31,5,1843,1843,1873,0,0,31
660,30,6,1903,1903,1966,34,0,64
661,34,5,1921,1921,1954,0,0,34
662,33,7,1979,1979,2011,0,0,33
663,27,7,2036,2036,2062,0,0,27
664,31,4,2076,2076,2106,0,0,31
665,26,5,2077,2107,2132,30,30,56
666,20,7,2130,2133,2152,3,3,23
667,32,6,2177,2177,2208,0,0,32
668,27,9,2189,2209,2235,20,20,47
669,31,8,2252,2252,2282,0,0,31
670,21,7,2283,2283,2303,0,0,21
671,27,7,2295,2304,2330,9,9,36
672,27,8,2311,2331,2357,20,20,47
673,33,6,2380,2380,2412,0,0,33
674,35,6,2406,2413,2447,7,7,42
675,25,7,2443,2448,2537,70,5,95
676,36,6,2453,2453,2488,0,0,36
677,29,6,2484,2489,2517,5,5,34
678,30,7,2518,2538,2567,20,20,50
679,31,7,2582,2582,2647,35,0,66
680,35,5,2588,2588,2622,0,0,35
681,26,6,2651,2651,2676,0,0,26
682,28,5,2679,2679,2706,0,0,28
683,26,6,2699,2707,2732,8,8,34
684,32,6,2717,2733,2764,16,16,48
685,35,7,2785,2785,2819,0,0,35
686,22,8,2803,2820,2841,17,17,39
687,38,6,2865,2865,2938,36,0,74
688,36,5,2877,2877,2912,0,0,36
689,29,7,2929,2939,2967,10,10,39
690,34,7,2929,2968,3032,70,39,104
691,31,6,2988,2988,3018,0,0,31
692,19,6,3037,3037,3055,0,0,19
693,24,6,3092,3092,3115,0,0,24
694,38,6,3101,3116,3153,15,15,53
695,23,10,3131,3182,3204,51,51,74
696,28,6,3147,3154,3181,7,7,35
697,24,5,3206,3206,3229,0,0,24
698,28,6,3222,3230,3257,8,8,36
699,25,7,3234,3258,3282,24,24,49
700,29,7,3257,3283,3311,26,26,55
,,,,,,,,
,,,,,Min,0,0,17
,,,,,Mean,17.38,10.07,46.27
,,,,,Max,173,92,201
,,,,,StdDev,30.30,16.07,30.97
