Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,20,2,14,14,33,0,0,20
102,30,3,51,51,80,0,0,30
103,37,2,79,81,117,2,2,39
104,27,4,87,118,144,31,31,58
105,23,1,141,183,205,42,42,65
106,38,0,145,145,182,0,0,38
107,25,2,183,206,230,23,23,48
108,36,2,217,231,266,14,14,50
109,29,2,277,277,305,0,0,29
110,28,1,343,343,370,0,0,28
111,26,1,383,383,408,0,0,26
112,26,2,425,425,450,0,0,26
113,34,3,443,451,484,8,8,42
114,32,3,510,510,541,0,0,32
115,26,1,567,567,592,0,0,26
116,17,1,600,600,616,0,0,17
117,17,2,630,630,646,0,0,17
118,24,1,689,689,712,0,0,24
119,37,0,746,746,782,0,0,37
120,33,1,753,783,815,30,30,63
121,31,3,758,816,846,58,58,89
122,33,3,768,874,906,106,106,139
123,27,2,828,847,873,19,19,46
124,26,2,895,907,932,12,12,38
125,24,3,958,988,1011,30,30,54
126,30,2,958,958,987,0,0,30
127,27,1,1006,1012,1038,6,6,33
128,36,1,1043,1043,1078,0,0,36
129,26,1,1068,1079,1104,11,11,37
130,21,1,1133,1133,1153,0,0,21
131,23,2,1157,1157,1179,0,0,23
132,30,2,1207,1207,1236,0,0,30
133,34,2,1272,1272,1305,0,0,34
134,44,2,1313,1313,1356,0,0,44
135,26,1,1323,1446,1471,123,123,149
136,34,0,1344,1357,1390,13,13,47
137,28,0,1359,1391,1418,32,32,60
138,27,0,1366,1419,1445,53,53,80
139,26,2,1373,1500,1525,127,127,153
140,19,2,1442,1551,1569,109,109,128
141,28,1,1466,1472,1499,6,6,34
142,25,1,1510,1526,1550,16,16,41
143,33,3,1552,1570,1602,18,18,51
144,34,1,1614,1614,1647,0,0,34
145,37,1,1647,1648,1684,1,1,38
146,24,0,1652,1685,1708,33,33,57
147,40,2,1691,1745,1784,54,54,94
148,36,1,1695,1709,1744,14,14,50
149,25,2,1752,1785,1809,33,33,58
150,35,0,1796,1810,1844,14,14,49
151,23,2,1826,1845,1867,19,19,42
152,35,2,1875,1875,1909,0,0,35
153,24,2,1936,1936,1959,0,0,24
154,30,0,1987,1987,2016,0,0,30
155,30,2,2029,2029,2058,0,0,30
156,36,2,2047,2059,2094,12,12,48
157,30,0,2093,2095,2124,2,2,32
158,31,1,2160,2160,2190,0,0,31
159,20,3,2173,2191,2210,18,18,38
160,21,2,2198,2211,2231,13,13,34
161,32,2,2255,2255,2286,0,0,32
162,22,1,2268,2287,2308,19,19,41
163,40,0,2292,2309,2348,17,17,57
164,22,1,2305,2349,2370,44,44,66
165,36,3,2308,2543,2578,235,235,271
166,27,1,2350,2371,2397,21,21,48
167,40,2,2352,2436,2475,84,84,124
168,38,1,2378,2398,2435,20,20,58
169,14,2,2397,2476,2489,79,79,93
170,28,2,2409,2515,2542,106,106,134
171,32,3,2453,2579,2610,126,126,158
172,30,3,2472,2647,2676,175,175,205
173,25,1,2487,2490,2514,3,3,28
174,29,3,2532,2730,2758,198,198,227
175,36,0,2594,2611,2646,17,17,53
176,24,5,2596,2843,2866,247,247,271
177,24,1,2655,2677,2700,22,22,46
178,29,1,2694,2701,2729,7,7,36
179,29,2,2741,2759,2787,18,18,47
180,24,2,2766,2788,2811,22,22,46
181,31,2,2804,2812,2842,8,8,39
182,23,2,2860,2867,2889,7,7,30
183,22,2,2869,2890,2911,21,21,43
184,39,2,2930,2930,2968,0,0,39
185,23,1,2957,2969,2991,12,12,35
186,27,0,2995,2995,3021,0,0,27
187,32,0,3004,3022,3053,18,18,50
188,29,2,3054,3054,3082,0,0,29
189,26,3,3081,3083,3108,2,2,28
190,26,0,3134,3134,3159,0,0,26
191,28,1,3164,3164,3191,0,0,28
192,32,2,3231,3231,3262,0,0,32
193,25,0,3262,3263,3287,1,1,26
194,24,1,3279,3288,3311,9,9,33
195,29,2,3328,3328,3356,0,0,29
196,33,1,3380,3380,3412,0,0,33
197,34,2,3384,3413,3446,29,29,63
198,28,2,3453,3453,3480,0,0,28
199,23,0,3501,3501,3523,0,0,23
200,38,2,3532,3532,3569,0,0,38
,,,,,,,,
,,,,,Min,0,0,17
,,,,,Mean,26.69,26.69,55.56
,,,,,Max,247,247,271
,,,,,StdDev,48.94,48.94,49.09
