Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
501,20,2,14,14,33,0,0,20
502,30,3,51,51,117,37,0,67
503,37,2,79,79,115,0,0,37
504,27,4,87,118,266,153,31,180
505,23,1,141,141,201,38,0,61
506,38,0,145,145,182,0,0,38
507,25,2,183,202,226,19,19,44
508,36,2,217,227,262,10,10,46
509,29,2,277,277,305,0,0,29
510,28,1,343,343,370,0,0,28
511,26,1,383,383,408,0,0,26
512,26,2,425,425,450,0,0,26
513,34,3,443,451,484,8,8,42
514,32,3,510,510,541,0,0,32
515,26,1,567,567,592,0,0,26
516,17,1,600,600,616,0,0,17
517,17,2,630,630,646,0,0,17
518,24,1,689,689,712,0,0,24
519,37,0,746,746,782,0,0,37
520,33,1,753,783,815,30,30,63
521,31,3,758,816,873,85,58,116
522,33,3,768,874,932,132,106,165
523,27,2,828,828,854,0,0,27
524,26,2,895,895,920,0,0,26
525,24,3,958,988,1038,57,30,81
526,30,2,958,958,987,0,0,30
527,27,1,1006,1006,1032,0,0,27
528,36,1,1043,1043,1078,0,0,36
529,26,1,1068,1079,1104,11,11,37
530,21,1,1133,1133,1153,0,0,21
531,23,2,1157,1157,1179,0,0,23
532,30,2,1207,1207,1236,0,0,30
533,34,2,1272,1272,1305,0,0,34
534,44,2,1313,1313,1499,143,0,187
535,26,1,1323,1323,1437,89,0,115
536,34,0,1344,1344,1377,0,0,34
537,28,0,1359,1378,1405,19,19,47
538,27,0,1366,1406,1432,40,40,67
539,26,2,1373,1500,1550,152,127,178
540,19,2,1442,1551,1569,109,109,128
541,28,1,1466,1466,1493,0,0,28
542,25,1,1510,1510,1534,0,0,25
543,33,3,1552,1570,1602,18,18,51
544,34,1,1614,1614,1647,0,0,34
545,37,1,1647,1648,1708,25,1,62
546,24,0,1652,1652,1675,0,0,24
547,40,2,1691,1745,1784,54,54,94
548,36,1,1695,1709,1744,14,14,50
549,25,2,1752,1785,1844,68,33,93
550,35,0,1796,1796,1830,0,0,35
551,23,2,1826,1845,1867,19,19,42
552,35,2,1875,1875,1909,0,0,35
553,24,2,1936,1936,1959,0,0,24
554,30,0,1987,1987,2016,0,0,30
555,30,2,2029,2029,2058,0,0,30
556,36,2,2047,2059,2124,42,12,78
557,30,0,2093,2093,2122,0,0,30
558,31,1,2160,2160,2190,0,0,31
559,20,3,2173,2191,2231,39,18,59
560,21,2,2198,2198,2218,0,0,21
561,32,2,2255,2255,2435,149,0,181
562,22,1,2268,2268,2289,0,0,22
563,40,0,2292,2292,2331,0,0,40
564,22,1,2305,2332,2353,27,27,49
565,36,3,2308,2543,2578,235,235,271
566,27,1,2350,2354,2380,4,4,31
567,40,2,2352,2436,2475,84,84,124
568,38,1,2378,2381,2418,3,3,41
569,14,2,2397,2476,2514,104,79,118
570,28,2,2409,2515,2542,106,106,134
571,32,3,2453,2579,2646,162,126,194
572,30,3,2472,2647,2729,228,175,258
573,25,1,2487,2487,2511,0,0,25
574,29,3,2532,2730,2842,282,198,311
575,36,0,2594,2594,2629,0,0,36
576,24,5,2596,2843,2911,292,247,316
577,24,1,2655,2655,2678,0,0,24
578,29,1,2694,2694,2722,0,0,29
579,29,2,2741,2741,2769,0,0,29
580,24,2,2766,2770,2793,4,4,28
581,31,2,2804,2804,2834,0,0,31
582,23,2,2860,2860,2882,0,0,23
583,22,2,2869,2883,2904,14,14,36
584,39,2,2930,2930,2991,23,0,62
585,23,1,2957,2957,2979,0,0,23
586,27,0,2995,2995,3021,0,0,27
587,32,0,3004,3022,3053,18,18,50
588,29,2,3054,3054,3082,0,0,29
589,26,3,3081,3083,3108,2,2,28
590,26,0,3134,3134,3159,0,0,26
591,28,1,3164,3164,3191,0,0,28
592,32,2,3231,3231,3311,49,0,81
593,25,0,3262,3262,3286,0,0,25
594,24,1,3279,3287,3310,8,8,32
595,29,2,3328,3328,3356,0,0,29
596,33,1,3380,3380,3412,0,0,33
597,34,2,3384,3413,3446,29,29,63
598,28,2,3453,3453,3480,0,0,28
599,23,0,3501,3501,3523,0,0,23
600,38,2,3532,3532,3569,0,0,38
,,,,,,,,
,,,,,Min,0,0,17
,,,,,Mean,32.34,21.26,61.21
,,,,,Max,292,247,316
,,,,,StdDev,62.23,48.91,62.84
